city,population
Hažlín,1078
Čeľadice,1078
Podhájska,1077
Ľubochňa,1074
Stožok,1074
Lok,1073
Horná Ves,1072
Nededza,1070
Kľačno,1069
Veľká Lehota,1069
Hrušovany,1067
Chmeľov,1066
Doľany,1066
Dubovany,1066
Petrovce nad Laborcom,1065
Rokycany,1064
Tekovské Nemce,1061
Veľké Orvište,1060
Kamenný Most,1060
Kráľov Brod,1058
Markovce,1058
Gerlachov,1056
Hrčeľ,1052
Mikušovce,1050
Hostice,1050
Kunerad,1050
Černík,1048
Hladovka,1047
Košecké Podhradie,1047
Streženice,1046
Ladomirová,1045
Čebovce,1044
Koš,1041
Olcnava,1040
Hrubý Šúr,1038
Červenica,1033
Malý Slivník,1032
Trávnica,1032
Ivanovce,1032
Liptovská Teplá,1031
Moravany,1031
Michal na Ostrove,1031
Brehy,1030
Košická Polianka,1030
Štitáre,1028
Nová Bošáca,1027
Kálnica,1024
Turčianske Kľačany,1024
Úbrež,1022
Divinka,1022
Maršová-Rašov,1022
Veľký Horeš,1022
Žbince,1022
Blatnica,1021
Hrhov,1020
Hertník,1019
Dražkovce,1019
Dežerice,1019
Novosad,1017
Rudinská,1015
Rakovec nad Ondavou,1015
Volkovce,1013
Dolná Strehová,1013
Priechod,1009
Selec,1007
Iliašovce,1006
Poráč,1006
Odorín,1005
Jablonec,1004
Dolná Breznica,1004
Hradište,1003
Chmiňany,1003
Gemerská Ves,1001
Ludrová,1000
Necpaly,998
Kružlov,997
Dolný Lopašov,996
Richvald,996
Dolné Srnie,992
Tovarné,992
Radnovce,990
Svinica,989
Osikov,989
Jelšovce,988
Jablonov,987
Košická Belá,986
Smolník,986
Prievaly,985
Modra nad Cirochou,984
Veľká Paka,984
Jur nad Hronom,983
Zemplínska Široká,982
Blatná na Ostrove,981
Hlboké,980
Boliarov,980
Chmeľnica,980
Mýtne Ludany,980
Brestovec,979
Sedlice,979
Salka,979
Medzany,978
Práznovce,977
Súľov-Hradná,977
Pastuchov,976
Hlboké nad Váhom,975
Krušetnica,973
Malinová,972
Visolaje,971
Dubodiel,971
Stará Lesná,971
Lodno,971
Bežovce,970
Trenčianske Bohuslavice,968
Bijacovce,967
Demandice,966
Hrnčiarska Ves,965
Povoda,964
Popudinské Močidľany,963
Širkovce,957
Čajkov,957
Vyšná Myšľa,957
Lúčnica nad Žitavou,957
Komoča,955
Rankovce,954
Turčianska Štiavnička,954
Dúbravy,953
Ploské,952
Pribeník,952
Marhaň,952
Rastislavice,951
Podhorie,949
Šarišské Bohdanovce,949
Korytárky,948
Skýcov,948
Ličartovce,948
Jakubovany (Distric Sabinov),947
Veľké Kosihy,945
Kaplna,944
Lomná,943
Nemčice,943
Petrová,943
Poša,941
Vajkovce,941
Lučivná,941
"Lednica, Púchov District",940
Janova Lehota,939
Hucín,939
Beňadovo,938
Kapušianske Kľačany,937
Párnica,936
Podlužany,934
Liptovská Kokava,934
Poloma,933
Kráľ,932
Červenica pri Sabinove,932
Veľká nad Ipľom,932
Sklabiná,931
Bracovce,931
Rapovce,930
Chrabrany,927
Rúbaň,926
Holumnica,925
Lúky,924
Krišovská Liesková,924
Betliar,923
Zemplínska Nová Ves,920
Vojany,920
Jarabina,919
Dulov,918
Muránska Dlhá Lúka,918
Šelpice,917
Zvončín,917
Borinka,915
Janíky,915
Kokošovce,914
Podkonice,914
Veľký Lipník,914
Dlhá nad Váhom,913
Padáň,912
Dolný Pial,911
Jablonové,910
Fiľakovské Kováče,909
Papín,908
Domaňovce,907
Horné Mýto,905
Chrasť nad Hornádom,904
Smolinské,903
Čičarovce,902
"Pucov, Dolný Kubín District",900
Zábiedovo,900
Gemer,899
Lipovec,899
Gregorovce,898
Bacúch,897
Kravany,897
Nový Tekov,897
Pernek,895
Slovenské Pravno,891
Hontianske Tesáre,889
Stránske,889
Svätý Kríž,887
Jedľové Kostoľany,887
Sása,887
Kolačno,885
Veľký Folkmár,884
Hôrky,882
Zbyňov,881
Utekáč,878
Nižný Klátov,878
Brodzany,878
Veľký Klíž,877
Župkov,876
Žakovce,873
Horovce,872
Adamovské Kochanovce,872
Lysica,871
Lekárovce,870
Gáň,870
Zemianske Sady,870
Horné Otrokovce,869
Štiavnička,869
Nižný Slavkov,868
Trebeľovce,867
Palín,865
Veľké Teriakovce,865
Horné Lefantovce,861
Podhorany,857
Švošov,856
Kobyly,856
Vlková,855
Vrádište,852
Bukovec,851
Velčice,851
Teriakovce,850
Bátka,849
Dolná Ždaňa,848
Harmanec,848
Breznica,848
Šemša,846
Sasinkovo,842
Kameňany,842
Vasiľov,840
Horovce,840
Kazimír,839
Jovsa,838
Gerlachov,835
Horný Hričov,835
Ružiná,835
Malatiná,834
Lackovce,834
Lada,832
Hrnčiarske Zalužany,832
Oponice,832
Riečka,832
Cestice,831
Ložín,829
Ipeľský Sokolec,829
Zubák,829
Veľká Lúka,828
Kmeťovo,827
Slavnica,825
Ulič,825
Iňačovce,825
Košolná,824
Hrušov,824
Veľaty,823
Rumanová,821
Dolný Lieskov,820
Dolný Bar,819
Radôstka,819
Žalobín,819
Ľubiša,818
Kaloša,818
Rudník,817
Uzovská Panica,816
Malá Lehota,814
Slepčany,813
Štiavnické Bane,813
Arnutovce,812
Prašník,812
Dvorany nad Nitrou,810
Matiašovce,809
Dravce,809
Pataš,808
Krivá,808
Bitarová,808
Tuchyňa,806
Drienovská Nová Ves,805
Ondavské Matiašovce,805
Dobrá Voda,803
Dolné Lovčice,800
Hrachovo,799
Topoľnica,799
Pavlovce,797
Vyšný Kubín,796
Licince,795
Topoľovka,795
Malé Uherce,793
Ladomerská Vieska,792
Ubľa,792
Krškany,791
Dolná Poruba,791
Včelince,789
Kuklov,789
Trenčianske Mitice,787
Vysoká nad Uhom,786
Koplotovce,785
Beniakovce,785
Vlachovo,785
Radatice,784
Neporadza,783
Valaská Dubová,782
Motešice,782
Balog nad Ipľom,781
Davidov,781
Spišské Hanušovce,781
Kostolná pri Dunaji,781
Hontianske Moravce,781
Blhovce,780
Svätuše,779
Doľany,779
Ostratice,776
Ťapešovo,776
Beloveža,775
Skrabské,775
Čab,775
Plavé Vozokany,774
Hôrka nad Váhom,774
Bohunice,773
Mokroluh,771
Veľká Hradná,771
Strelníky,770
Zbudské Dlhé,769
Dunajský Klátov,767
Hozelec,766
Zlaté,764
Zemianske Podhradie,764
Podlužany,764
Mučín,763
Stará Myjava,762
Babindol,762
Lutiše,761
Sliepkovce,760
Drienica,759
Pôtor,759
Ladice,758
Kuzmice,757
Radava,757
Staré,755
Litava,754
Prietrž,753
Čierne nad Topľou,752
Jablonov nad Turňou,752
Veľké Ozorovce,752
Zatín,751
Jovice,751
Slivník,751
Hosťovce,750
Čerhov,749
Nováčany,749
Plechotice,749
Veľké Dvorany,748
Bzenov,748
Laškovce,745
Bobot,745
Betlanovce,744
Čaka,743
Panické Dravce,743
Veľké Turovce,742
Hronské Kosihy,742
Nitrianska Streda,741
Oravský Biely Potok,740
Plavecký Mikuláš,740
Rejdová,740
Haniska,739
Veľký Kamenec,738
Bartošovce,738
Štós,737
Kochanovce,737
Hrádok,737
"Kyjov, Stará Ľubovňa District",737
Senné,737
Tôň,737
Rudnianska Lehota,736
Dolné Dubové,736
Boľ,734
Hatalov,731
Fričkovce,731
Tesáre,730
Kunova Teplica,730
Mokrý Háj,729
Tvarožná,729
Senohrad,728
Slovenská Kajňa,727
Ďačov,727
Breznička,725
Kalša,724
Baloň,720
Kuková,720
Čierne nad Topľou,719
Gemerský Jablonec,719
Veľké Kozmálovce,718
Kravany nad Dunajom,718
Nimnica,716
Vaďovce,713
Baška,713
Jatov,713
Borčice,712
Radvaň nad Dunajom,711
Bačkov,711
Lúč na Ostrove,711
Drnava,710
Chanava,709
Ovčiarsko,709
Veľké Bierovce,708
Maťovské Vojkovce,705
Slavkovce,705
Kružlová,705
Rudná,704
Záriečie,703
Dolné Lefantovce,702
Lúka,701
Krásnohorská Dlhá Lúka,700
Lovce,699
Žakarovce,699
Malá Čausa,699
Stretava,699
Plavecké Podhradie,698
